,i,j,y,t,l,k,alpha,psi
0,0,81,-0.08453612503816577,0,1,4,-0.43072729929545756,-0.11418529432142838
1,0,31,-1.1408483144905723,1,1,1,-0.43072729929545756,-0.9084578685373851
2,0,31,-0.9464790061905439,2,1,1,-0.43072729929545756,-0.9084578685373851
3,0,101,-1.6749827483331172,3,1,5,-0.43072729929545756,0.11418529432142824
4,0,19,-3.276264719839916,4,1,0,-0.43072729929545756,-1.335177736118937
5,1,75,-0.01817659850100445,0,2,3,0.0,-0.3487556955170447
6,1,127,0.0894000829516407,1,2,6,0.0,0.3487556955170447
7,1,93,-0.3147180188090384,2,2,4,0.0,-0.11418529432142838
8,1,93,-1.89601524913065,3,2,4,0.0,-0.11418529432142838
9,1,93,1.125894805679544,4,2,4,0.0,-0.11418529432142838
10,2,28,-0.16496093450625704,0,1,1,-0.43072729929545756,-0.9084578685373851
11,2,28,0.1356735979151884,1,1,1,-0.43072729929545756,-0.9084578685373851
12,2,53,-2.74049218985199,2,1,2,-0.43072729929545756,-0.6045853465832371
13,2,53,-1.150429534491885,3,1,2,-0.43072729929545756,-0.6045853465832371
14,2,53,-0.9070515673536675,4,1,2,-0.43072729929545756,-0.6045853465832371
15,3,2,-4.029263126894282,0,0,0,-0.967421566101701,-1.335177736118937
16,3,2,-2.531549497260108,1,0,0,-0.967421566101701,-1.335177736118937
17,3,2,-2.171583370307954,2,0,0,-0.967421566101701,-1.335177736118937
18,3,2,-3.5918791064800764,3,0,0,-0.967421566101701,-1.335177736118937
19,3,74,-1.343136630744582,4,0,3,-0.967421566101701,-0.3487556955170447
20,4,13,-2.9016580821154703,0,1,0,-0.43072729929545756,-1.335177736118937
21,4,13,-0.10291609320559947,1,1,0,-0.43072729929545756,-1.335177736118937
22,4,13,-2.4491801104491953,2,1,0,-0.43072729929545756,-1.335177736118937
23,4,6,-2.151707384462151,3,1,0,-0.43072729929545756,-1.335177736118937
24,4,44,-1.8709232628275423,4,1,2,-0.43072729929545756,-0.6045853465832371
25,5,29,-0.3275462225062702,0,0,1,-0.967421566101701,-0.9084578685373851
26,5,29,-1.725172259742719,1,0,1,-0.967421566101701,-0.9084578685373851
27,5,15,-2.160571102972998,2,0,0,-0.967421566101701,-1.335177736118937
28,5,15,-2.512976768943202,3,0,0,-0.967421566101701,-1.335177736118937
29,5,15,-0.9446863382303177,4,0,0,-0.967421566101701,-1.335177736118937
30,6,74,-1.356993309886453,0,3,3,0.43072729929545744,-0.3487556955170447
31,6,190,2.5317393128477588,1,3,9,0.43072729929545744,1.3351777361189363
32,6,118,0.3339418798948529,2,3,6,0.43072729929545744,0.3487556955170447
33,6,90,1.9005798915510597,3,3,4,0.43072729929545744,-0.11418529432142838
34,6,90,2.396243181285751,4,3,4,0.43072729929545744,-0.11418529432142838
35,7,94,1.1577065714500174,0,4,4,0.967421566101701,-0.11418529432142838
36,7,103,1.7289325464241037,1,4,5,0.967421566101701,0.11418529432142824
37,7,112,-0.08123817878856121,2,4,5,0.967421566101701,0.11418529432142824
38,7,162,1.7911388956713827,3,4,8,0.967421566101701,0.9084578685373853
39,7,120,2.338203678146548,4,4,6,0.967421566101701,0.3487556955170447
40,8,196,0.6496477087750958,0,4,9,0.967421566101701,1.3351777361189363
41,8,173,0.8873090382587562,1,4,8,0.967421566101701,0.9084578685373853
42,8,89,-0.08174015500911314,2,4,4,0.967421566101701,-0.11418529432142838
43,8,185,1.651167130082122,3,4,9,0.967421566101701,1.3351777361189363
44,8,192,2.7796464965191605,4,4,9,0.967421566101701,1.3351777361189363
45,9,151,3.31872529399094,0,4,7,0.967421566101701,0.6045853465832371
46,9,151,1.1791989652184338,1,4,7,0.967421566101701,0.6045853465832371
47,9,96,1.140461821940515,2,4,4,0.967421566101701,-0.11418529432142838
48,9,166,4.321694768138213,3,4,8,0.967421566101701,0.9084578685373853
49,9,166,2.164064377996672,4,4,8,0.967421566101701,0.9084578685373853
50,10,113,2.776550432145636,0,4,5,0.967421566101701,0.11418529432142824
51,10,113,1.3592390143749569,1,4,5,0.967421566101701,0.11418529432142824
52,10,150,2.850252753169692,2,4,7,0.967421566101701,0.6045853465832371
53,10,150,1.4200879588788575,3,4,7,0.967421566101701,0.6045853465832371
54,10,150,0.14930610023288637,4,4,7,0.967421566101701,0.6045853465832371
55,11,138,-0.4655477803140671,0,2,7,0.0,0.6045853465832371
56,11,138,-0.4166886554375655,1,2,7,0.0,0.6045853465832371
57,11,152,1.7550551824552443,2,2,7,0.0,0.6045853465832371
58,11,97,0.1251555523587037,3,2,4,0.0,-0.11418529432142838
59,11,97,-0.8400501865369556,4,2,4,0.0,-0.11418529432142838
60,12,54,-1.1923527889886891,0,1,2,-0.43072729929545756,-0.6045853465832371
61,12,60,-0.7966817064898125,1,1,3,-0.43072729929545756,-0.3487556955170447
62,12,60,-0.5399820167214164,2,1,3,-0.43072729929545756,-0.3487556955170447
